ref_id,settlement_amount,value_date,acct_no
TXN00135,3237.78,2026-01-25,ACC2328
TXN00136,13234.18,2026-03-27,ACC1558
TXN00137,34943.23,2026-04-02,ACC1110
TXN00139,25036.93,2026-01-26,ACC8620
TXN00140,11461.42,2026-04-08,ACC4068
TXN00141,44875.57,2026-03-04,
TXN00143,1669.62,2026-03-18,ACC4016
TXN00144,19969.42,2026-04-25,ACC3713
TXN00145,16797.52,2026-01-24,
TXN00146,33389.28,2026-02-18,ACC2785
TXN00147,642.1,2026-02-05,ACC3026
TXN00148,28275.88,2026-04-08,ACC6057
TXN00149,41439.4,2026-02-25,ACC9872
TXN00150,46015.57,2026-01-25,ACC1496
